"Player_no","PLAYER_BET_NUMBER","BET_PLACED_DATE","OVER_1000_SEK","EVENT_NAME","LEAGUE","BET_OFFER_TYPE","CRITERIA_NAME","IS_LIVE","BET_LABEL","ODDS","BET_OUTCOME"
76,1,2022-07-05 20:38:53,"YES","Orgryte IS - Orebro SK","Superettan","Asian Handicap","Asian Handicap ({0} - {1}) 0.25","Y","Orebro SK",2.5,"Bet Lost"
77,1,2022-07-09 14:06:02,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Asian Handicap","Asian Handicap -1.5","N","Malmo FF",1.81,"Bet Won"
78,1,2022-07-10 15:15:41,"YES","IF Elfsborg - AIK","Allsvenskan","Three way 1x2","Half Time","Y","IF Elfsborg",3.25,"Bet Lost"
79,1,2022-07-10 14:50:53,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Three way 1x2","Full Time","N","Kalmar FF",1.75,"Bet Lost"
80,1,2022-07-09 10:49:09,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Three way 1x2","Full Time","N","Malmo FF",1.33,"Bet Won"
81,1,2022-07-09 11:12:52,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Asian Handicap","Asian Handicap -1","N","Malmo FF",1.46,"Bet Won"
82,1,2022-07-05 20:32:00,"YES","Halmstads BK - Jonkopings Sodra IF","Superettan","Over Under","Total Goals 3.5","Y","Under",1.08,"Bet Won"
82,2,2022-07-09 16:25:21,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Over Under","Total Corners 15.5","Y","Under",1.15,"Bet Won"
82,3,2022-07-09 18:09:53,"YES","Degerfors IF - IFK Norrkoping","Allsvenskan","Over Under","Total Corners - 1st Half 8.5","Y","Under",1.19,"Bet Won"
82,4,2022-07-09 19:06:53,"YES","Degerfors IF - IFK Norrkoping","Allsvenskan","Over Under","Total Corners 14.5","Y","Under",1.25,"Bet Won"
82,5,2022-07-10 14:47:57,"YES","Jonkopings Sodra IF - Ostersunds FK","Superettan","Over Under","Total Goals 1.5","Y","Under",1.19,"Bet Won"
82,6,2022-07-10 15:19:54,"YES","IF Elfsborg - AIK","Allsvenskan","Over Under","Total Goals by Home Team - {0}:00-{1}:59 0.5","Y","Under",1.17,"Bet Lost"
82,7,2022-07-10 16:17:15,"YES","IF Elfsborg - AIK","Allsvenskan","Over Under","Total Goals by Home Team 2.5","Y","Under",1.14,"Bet Won"
82,8,2022-07-10 18:39:13,"YES","Skovde AIK - Orgryte IS","Superettan","Over Under","Total Corners 12.5","Y","Under",1.26,"Bet Won"
83,1,2022-07-05 19:27:17,"YES","Halmstads BK - Jonkopings Sodra IF","Superettan","Over Under","Total Goals - 1st Half 1.5","Y","Over",2.23,"Bet Won"
83,2,2022-07-05 20:12:31,"YES","Orgryte IS - Orebro SK","Superettan","Three way 1x2","2nd Half","Y","Orebro SK",2.8,"Bet Lost"
84,1,2022-07-10 16:12:40,"YES","Mjallby AIF - BK Hacken","Allsvenskan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","X",3.15,"Bet Lost"
85,1,2022-07-10 15:53:37,"YES","IF Elfsborg - AIK","Allsvenskan","Three way 1x2","Full Time","Y","AIK",3.2,"Bet Lost"
86,1,2022-07-05 19:28:13,"YES","Orgryte IS - Orebro SK","Superettan","Double Chance","Double Chance","Y","X2",3.05,"Bet Lost"
87,1,2022-07-10 08:30:06,"YES","IF Elfsborg - AIK","Allsvenskan","Asian Handicap","Asian Handicap 1","N","AIK",7.5,"Bet Lost"
88,1,2022-07-09 11:07:00,"YES","Norrby IF - Vaster?s SK FK","Superettan","Three way 1x2","Full Time","N","Norrby IF",1.75,"Bet Won"
88,2,2022-07-09 11:07:00,"YES","Norrby IF - Vaster?s SK FK","Superettan","Over Under","Total Goals by Home Team 1.5","N","Over",1.75,"Bet Lost"
88,3,2022-07-09 11:07:00,"YES","Norrby IF - Vaster?s SK FK","Superettan","Over Under","Total Goals 2.5","N","Over",1.72,"Bet Lost"
89,1,2022-07-10 12:37:20,"YES","IF Elfsborg - AIK","Allsvenskan","Three way 1x2","Full Time","N","IF Elfsborg",2.1,"Bet Lost"
90,1,2022-07-10 13:01:45,"YES","IF Elfsborg - AIK","Allsvenskan","Double Chance","Double Chance","N","X2",1.76,"Bet Won"
91,1,2022-07-10 15:04:03,"YES","Mjallby AIF - BK Hacken","Allsvenskan","Three way 1x2","Half Time","Y","BK Hacken",2.55,"Bet Won"
92,1,2022-07-09 14:22:03,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Occurrence To Happen","Both Teams To Score","N","Yes",2,"Bet Lost"
92,2,2022-07-09 14:45:26,"YES","Norrby IF - Vaster?s SK FK","Superettan","Asian Over/Under","Asian Total 3","N","Under",1.68,"Bet Won"
92,3,2022-07-09 17:28:55,"YES","Degerfors IF - IFK Norrkoping","Allsvenskan","Asian Over/Under","Asian Total 3","N","Over",2.08,"Bet Lost"
93,1,2022-07-10 14:56:00,"YES","IF Elfsborg - AIK","Allsvenskan","Over Under","Total Corners by Home Team 4.5","N","Over",1.37,"Bet Won"
94,1,2022-07-09 13:47:52,"YES","Degerfors IF - IFK Norrkoping","Allsvenskan","Asian Handicap","Asian Handicap 1","N","IFK Norrkoping",3.25,"Bet Lost"
94,2,2022-07-10 14:55:06,"YES","IF Elfsborg - AIK","Allsvenskan","Asian Handicap","Asian Handicap 1","N","AIK",6.5,"Bet Lost"
95,1,2022-07-03 18:24:33,"YES","Utsiktens BK - Osters IF","Superettan","Three way 1x2","Full Time","N","Utsiktens BK",2.55,"Bet Lost"
95,2,2022-07-08 17:37:01,"YES","IF Brommapojkarna - Dalkurd FF","Superettan","Over Under","Total Corners 10.5","N","Over",1.8,"Bet Won"
95,3,2022-07-09 17:19:41,"YES","Degerfors IF - IFK Norrkoping","Allsvenskan","Over Under","Total Corners 11.5","N","Over",1.97,"Bet Won"
95,4,2022-07-10 10:14:39,"YES","Jonkopings Sodra IF - Ostersunds FK","Superettan","Three way 1x2","Full Time","N","Jonkopings Sodra IF",1.83,"Bet Won"
96,1,2022-07-09 12:41:48,"YES","IF Brommapojkarna - Dalkurd FF","Superettan","Over Under","Total Corners 10.5","N","Over",1.75,"Bet Won"
96,2,2022-07-09 15:03:58,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Over Under","Total Goals 2.5","Y","Over",1.55,"Bet Won"
96,3,2022-07-09 17:04:33,"YES","Degerfors IF - IFK Norrkoping","Allsvenskan","Over Under","Total Corners 10.5","N","Over",1.58,"Bet Won"
96,4,2022-07-09 19:11:12,"YES","Degerfors IF - IFK Norrkoping","Allsvenskan","Over Under","Total Corners by Home Team 8.5","Y","Over",1.83,"Bet Lost"
97,1,2022-07-05 13:30:14,"YES","Orgryte IS - Orebro SK","Superettan","Three way 1x2","Full Time","N","Orebro SK",3.3,"Bet Lost"
98,1,2022-07-10 18:55:44,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Over Under","Total Goals by Away Team 1.5","Y","Over",2.85,"Bet Lost"
99,1,2022-07-09 22:01:04,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Three way 1x2","Full Time","N","Kalmar FF",1.7,"Bet Lost"
100,1,2022-07-10 17:18:08,"YES","Skovde AIK - Orgryte IS","Superettan","Over Under","Total Corners 9.5","Y","Under",1.98,"Bet Lost"
101,1,2022-07-05 20:07:36,"YES","Orgryte IS - Orebro SK","Superettan","Double Chance","Double Chance","Y","X2",2.8,"Bet Lost"
102,1,2022-07-09 14:50:02,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Over Under","Total Goals - 1st Half 0.5","N","Over",1.23,"Bet Won"
102,2,2022-07-09 16:14:24,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Over Under","Total Goals 1.5","Y","Over",1.18,"Bet Won"
102,3,2022-07-10 12:25:50,"YES","Jonkopings Sodra IF - Ostersunds FK","Superettan","Over Under","Total Goals 1.5","N","Over",1.28,"Bet Lost"
102,4,2022-07-10 14:59:18,"YES","IF Elfsborg - AIK","Allsvenskan","Over/Under","Total Shots on Target 8.5","N","Over",1.6,"Bet Won"
103,1,2022-07-05 18:02:04,"YES","Orgryte IS - Orebro SK","Superettan","Three way 1x2","Full Time","N","Orebro SK",3.55,"Bet Lost"
104,1,2022-07-09 17:28:38,"YES","Degerfors IF - IFK Norrkoping","Allsvenskan","Three way 1x2","Full Time","N","IFK Norrkoping",2.07,"Bet Lost"
105,1,2022-07-09 14:28:49,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Three Way Handicap","3-Way Handicap -1","N","Malmo FF",1.73,"Bet Won"
106,1,2022-07-09 15:33:32,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Three way 1x2","Full Time","Y","Malmo FF",1.4,"Bet Won"
107,1,2022-07-09 15:12:52,"YES","Norrby IF - Vaster?s SK FK","Superettan","Over Under","Total Goals 2.5","Y","Over",1.84,"Bet Lost"
107,2,2022-07-10 14:49:01,"YES","Mjallby AIF - BK Hacken","Allsvenskan","Over Under","Total Goals 2.5","N","Over",1.83,"Bet Won"
108,1,2022-07-09 15:21:14,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Over Under","Total Goals by Home Team - 1st Half 0.5","Y","Over",1.96,"Bet Won"
108,2,2022-07-10 16:08:30,"YES","Mjallby AIF - BK Hacken","Allsvenskan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","BK Hacken",2.33,"Bet Won"
108,3,2022-07-10 16:39:04,"YES","Mjallby AIF - BK Hacken","Allsvenskan","Over Under","Total Goals 3.5","Y","Over",2.8,"Bet Lost"
109,1,2022-07-10 18:34:12,"YES","Skovde AIK - Orgryte IS","Superettan","Over Under","Total Goals 3.5","Y","Over",2.02,"Bet Lost"
110,1,2022-07-04 09:54:13,"YES","Skovde AIK - Orgryte IS","Superettan","Three way 1x2","Full Time","N","Skovde AIK",2.15,"Bet Won"
111,1,2022-07-10 16:28:43,"YES","IF Elfsborg - AIK","Allsvenskan","Three way 1x2","Full Time","Y","X",1.82,"Bet Won"
111,2,2022-07-10 18:49:39,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Three way 1x2","Full Time","Y","Kalmar FF",1.9,"Bet Lost"
112,1,2022-07-09 15:11:07,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Three way 1x2","Full Time","Y","Malmo FF",1.29,"Bet Won"
113,1,2022-07-05 18:49:11,"YES","Orgryte IS - Orebro SK","Superettan","Three way 1x2","Full Time","N","Orebro SK",3.7,"Bet Lost"
114,1,2022-07-10 12:05:12,"YES","Jonkopings Sodra IF - Ostersunds FK","Superettan","Three way 1x2","Full Time","N","Jonkopings Sodra IF",1.83,"Bet Won"
115,1,2022-07-10 13:38:43,"YES","IF Elfsborg - AIK","Allsvenskan","Over Under","Total Corners by Home Team 6.5","N","Over",2.48,"Bet Won"
116,1,2022-07-05 20:54:52,"YES","Orgryte IS - Orebro SK","Superettan","Over Under","Total Goals 1.5","Y","Over",3.45,"Bet Won"
117,3,2022-07-09 15:11:47,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Three way 1x2","Half Time","Y","Malmo FF",1.86,"Bet Won"
117,4,2022-07-09 16:09:50,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","Malmo FF",1.49,"Bet Won"
117,5,2022-07-09 16:32:03,"YES","Malmo FF - Varbergs BoIS","Allsvenskan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","Malmo FF",2.02,"Bet Won"
117,6,2022-07-09 16:51:21,"YES","Degerfors IF - IFK Norrkoping","Allsvenskan","Over Under","Total Goals by Away Team 1.5","N","Over",1.79,"Bet Lost"
118,1,2022-07-09 13:55:31,"YES","IF Elfsborg - AIK","Allsvenskan","Three way 1x2","Full Time","N","X",3.65,"Bet Won"
119,1,2022-07-10 17:21:01,"YES","Kalmar FF - IK Sirius FK","Allsvenskan","Double Chance","Double Chance","N","X2",2.17,"Bet Won"
