"Player_no","PLAYER_BET_NUMBER","BET_PLACED_DATE","OVER_1000_SEK","EVENT_NAME","LEAGUE","BET_OFFER_TYPE","CRITERIA_NAME","IS_LIVE","BET_LABEL","ODDS","BET_OUTCOME"
1,1,2022-07-16 18:05:24,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Over Under","Total Goals - {0}:00-{1}:59 0.5","Y","Over",1.48,"Bet Won"
1,2,2022-07-16 18:48:01,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Over Under","Total Goals - {0}:00-{1}:59 0.5","Y","Over",3.25,"Bet Won"
1,3,2022-07-17 16:25:24,"YES","AIK - Kalmar FF","Allsvenskan","Over Under","Total Goals - {0}:00-{1}:59 0.5","Y","Over",3.4,"Bet Lost"
2,1,2022-06-29 20:30:18,"YES","Landskrona BoIS - Halmstads BK","Superettan","Three way 1x2","Full Time","N","Halmstads BK",1.9,"Bet Lost"
2,2,2022-07-13 22:26:13,"YES","Halmstads BK - Utsiktens BK","Superettan","Three way 1x2","Full Time","N","Halmstads BK",1.7,"Bet Won"
3,1,2022-07-16 14:59:41,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Over Under","Total Goals - 1st Half 0.5","N","Over",1.32,"Bet Won"
4,1,2022-07-17 15:41:00,"YES","Hammarby IF - IF Elfsborg","Allsvenskan","Three way 1x2","Full Time","Y","Hammarby IF",1.32,"Bet Won"
5,1,2022-07-16 14:54:32,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Three way 1x2","Full Time","N","Djurg?rdens IF",1.42,"Bet Won"
5,2,2022-07-16 22:34:34,"YES","AIK - Kalmar FF","Allsvenskan","Three way 1x2","Full Time","N","AIK",1.87,"Bet Won"
5,3,2022-07-17 13:08:06,"YES","AIK - Kalmar FF","Allsvenskan","Three way 1x2","Full Time","N","AIK",1.8,"Bet Won"
6,1,2022-07-16 14:16:22,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Three way 1x2","Full Time","N","Malmo FF",2.3,"Bet Won"
7,1,2022-07-17 14:26:40,"YES","IK Sirius FK - Degerfors IF","Allsvenskan","Three way 1x2","Full Time","N","IK Sirius FK",1.83,"Bet Won"
8,1,2022-07-16 10:11:47,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Three way 1x2","Full Time","N","Malmo FF",2.3,"Bet Won"
8,2,2022-07-16 17:00:44,"YES","Ostersunds FK - Osters IF","Superettan","Three way 1x2","Full Time","Y","Osters IF",1.68,"Bet Lost"
9,1,2022-07-17 10:19:05,"YES","IK Sirius FK - Degerfors IF","Allsvenskan","Three way 1x2","Full Time","N","IK Sirius FK",1.83,"Bet Won"
10,1,2022-07-12 20:34:41,"YES","Landskrona BoIS - Halmstads BK","Superettan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","Halmstads BK",2.7,"Bet Lost"
11,1,2022-07-12 18:56:46,"YES","Orebro SK - Trelleborgs FF","Superettan","Player Occurrence Line","To score 1","N","Bjorndahl, Erik - Yes",2.8,"Bet Won"
12,1,2022-07-17 15:57:52,"YES","AIK - Kalmar FF","Allsvenskan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","AIK",2.07,"Bet Lost"
13,1,2022-07-16 12:44:40,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Three way 1x2","Full Time","N","Djurg?rdens IF",1.4,"Bet Won"
13,2,2022-07-16 17:06:38,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","HT/FT","Half Time/Full Time","N","1/1",1.98,"Bet Won"
14,1,2022-07-12 18:22:08,"YES","Orebro SK - Trelleborgs FF","Superettan","Over Under","Total Goals by Home Team 1.5","N","Over",2.3,"Bet Won"
15,1,2022-07-17 13:14:33,"YES","IK Sirius FK - Degerfors IF","Allsvenskan","Three way 1x2","Full Time","N","IK Sirius FK",1.9,"Bet Won"
16,1,2022-07-16 17:12:13,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Three way 1x2","Full Time","N","Djurg?rdens IF",1.42,"Bet Won"
17,1,2022-07-17 02:20:34,"YES","IK Sirius FK - Degerfors IF","Allsvenskan","Three way 1x2","Full Time","N","IK Sirius FK",2,"Bet Won"
18,1,2022-07-16 12:48:56,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Three way 1x2","Full Time","N","Malmo FF",2.2,"Bet Won"
19,1,2022-07-13 16:38:48,"YES","IFK Norrkoping - Malmo FF","Allsvenskan","Three way 1x2","Full Time","N","IFK Norrkoping",3.45,"Bet Lost"
20,1,2022-07-17 13:12:45,"YES","Vaster?s SK FK - Landskrona BoIS","Superettan","Three way 1x2","Half Time","Y","Vaster?s SK FK",2.75,"Bet Won"
20,2,2022-07-17 15:23:47,"YES","AIK - Kalmar FF","Allsvenskan","Three way 1x2","Half Time","Y","AIK",3.55,"Bet Won"
20,3,2022-07-17 15:24:23,"YES","Halmstads BK - Utsiktens BK","Superettan","Three way 1x2","Half Time","Y","Halmstads BK",3.4,"Bet Won"
20,4,2022-07-17 16:09:07,"YES","IK Sirius FK - Degerfors IF","Allsvenskan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","Degerfors IF",2.95,"Bet Lost"
20,5,2022-07-17 16:13:56,"YES","IFK Goteborg - Mjallby AIF","Allsvenskan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","Mjallby AIF",2.9,"Bet Won"
20,6,2022-07-17 16:22:06,"YES","AIK - Kalmar FF","Allsvenskan","Next Occurrence Number","Next Goal ({0}) (Draw: No More Goals)","Y","AIK",2.43,"Bet Lost"
21,1,2022-07-17 15:18:39,"YES","Halmstads BK - Utsiktens BK","Superettan","Three way 1x2","Half Time","Y","Halmstads BK",2.7,"Bet Won"
22,1,2022-07-16 10:00:38,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Three way 1x2","Full Time","N","Djurg?rdens IF",1.43,"Bet Won"
22,2,2022-07-16 17:00:50,"YES","Djurg?rdens IF - IFK Varnamo","Allsvenskan","Three way 1x2","Full Time","N","Djurg?rdens IF",1.42,"Bet Won"
